분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,6.5,70.0,10.0,80.0,4.7,53.3,10.2,85.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,2.5,50.0,3.0,45.0,11.7,66.7,1.5,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-1.1,35.0,-3.5,35.0,-3.4,20.0,-3.5,25.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,-2.6,40.0,6.2,50.0,1.3,73.3,-1.9,45.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,15.6,75.0,5.2,55.0,8.3,53.3,11.1,65.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,0.5,40.0,-0.1,45.0,0.4,33.3,0.5,40.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,14.1,75.0,14.7,75.0,5.7,46.7,12.2,65.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,4.9,60.0,10.2,70.0,1.6,46.7,9.6,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.3,55.0,-1.3,45.0,0.5,40.0,1.7,45.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-11.2,25.0,-12.6,25.0,-9.2,26.7,-9.6,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.9,10.0,-14.9,5.0,-7.2,26.7,-17.0,5.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,6.8,70.0,13.5,90.0,-4.5,26.7,12.7,90.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,14.0,65.0,9.4,45.0,17.1,66.7,20.6,70.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-3.5,30.0,-9.2,20.0,-4.9,26.7,-11.3,20.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,0.7,45.0,8.2,55.0,-4.7,40.0,8.6,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,10.2,65.0,8.3,55.0,0.4,53.3,8.3,60.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-5.6,40.0,-10.5,25.0,-8.9,26.7,-9.6,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,22.6,55.0,29.1,70.0,25.6,60.0,28.3,70.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-2.2,40.0,-3.5,40.0,-0.1,46.7,-6.6,30.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,19.8,70.0,19.8,65.0,13.8,60.0,20.1,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,5.9,60.0,11.1,55.0,3.4,46.7,-0.3,45.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,10.3,40.0,10.4,40.0,17.1,60.0,13.1,50.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,18.2,25.0,14.3,30.0,29.4,33.3,21.1,35.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-0.0,40.0,-0.9,35.0,-8.8,20.0,-3.7,30.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,-2.4,50.0,5.3,55.0,-4.3,46.7,0.5,55.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-9.2,30.0,-10.1,25.0,-5.3,40.0,-10.0,25.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-8.3,25.0,-2.3,35.0,-2.4,40.0,-2.7,35.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,5.9,65.0,8.2,60.0,14.6,60.0,6.0,70.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,10.4,45.0,6.5,65.0,21.5,60.0,6.2,55.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,17.5,50.0,13.0,35.0,14.8,53.3,17.0,55.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-0.2,35.0,-6.2,30.0,-10.8,13.3,-4.6,25.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,6.3,50.0,7.2,60.0,2.2,53.3,7.3,55.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,31.3,65.0,12.5,50.0,17.7,73.3,11.6,65.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,1.8,50.0,2.9,55.0,20.0,46.7,9.6,45.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-10.8,35.0,-9.6,30.0,3.7,53.3,-12.3,35.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,14.2,75.0,7.0,60.0,13.2,73.3,10.5,60.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,10.9,70.0,4.8,75.0,14.5,66.7,9.4,60.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,27.9,85.0,18.5,80.0,22.5,80.0,24.6,85.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,21.3,65.0,23.8,70.0,42.4,66.7,10.0,65.0,2025
